State,District,Population,Confirmed,Deceased,Recovered,Tested,Vaccinated1,Vaccinated2
KA,Hassan,1776221,147,5,125,0,5434,26697
KA,Haveri,1598506,1,1,2,0,8794,36386
KA,Kalaburagi,2564892,9,0,5,0,35135,44220
KA,Kodagu,554762,112,0,67,0,1558,12680
KA,Kolar,1540231,18,3,31,0,13745,34211
KA,Koppal,1391292,1,0,5,0,16045,33794
KA,Mandya,1808680,48,0,36,0,5411,28944
KA,Mysuru,2994744,234,7,247,0,46664,111457
KA,Raichur,1924773,1,0,4,0,19900,34897
KA,Ramanagara,1082739,8,2,10,0,6303,28767
KA,Shivamogga,1755512,30,0,66,0,23220,47086
KA,Tumakuru,2681449,136,1,112,0,31038,66650
KA,Udupi,1177908,49,0,75,0,2422,27889
KA,Uttara Kannada,1353299,66,0,48,0,3955,32067
KA,Vijayapura,2175102,2,0,2,0,59571,50033
KA,Yadgir,1172985,0,0,2,0,18060,15460
KL,Alappuzha,2121943,2035,228,2526,0,5337,51712
KL,Ernakulam,3279860,7647,742,8539,0,13018,91762
KL,Idukki,1107453,2876,71,1866,0,2211,27218
KL,Kannur,2525637,2611,301,3143,0,7636,71089
KL,Kasaragod,1302600,1054,31,1082,0,4942,24290
KL,Kollam,2629703,4753,161,6283,0,7368,62100
KL,Kottayam,1979384,4187,101,1611,0,5298,58083
KL,Kozhikode,3089543,5386,513,5059,0,11449,57479
KL,Malappuram,4110956,2634,108,2929,0,20840,52896
KL,Palakkad,2810892,2560,175,2544,0,8712,57261
KL,Pathanamthitta,1195537,2953,122,2635,0,2637,29343
KL,Thiruvananthapuram,3307284,7056,118,4851,0,9284,89297
KL,Thrissur,3110327,5751,388,3647,0,8853,87643
KL,Wayanad,816558,1823,30,1691,0,2223,32359
LA,Kargil,143000,4,0,0,0,205,748
LA,Leh,147000,54,0,28,0,320,785
LD,Lakshadweep,64473,0,0,0,1625,69,796
MH,Ahmednagar,4543083,866,26,728,0,44180,28319
MH,Akola,1818617,3,0,7,0,26579,10081
MH,Amravati,2887826,3,0,0,0,29961,21747
MH,Aurangabad,3695928,156,1,157,0,46323,34109
MH,Beed,2585962,69,5,35,0,34333,24584
MH,Bhandara,1198810,0,0,1,0,5080,16415
MH,Buldhana,2588039,16,1,16,0,34272,24089
MH,Chandrapur,2194262,7,0,0,0,22248,18994
MH,Dhule,2048781,5,0,4,0,23261,19364
MH,Gadchiroli,1071795,2,0,5,0,14790,10994
MH,Gondia,1322331,2,0,3,0,8593,23092
MH,Hingoli,1178973,0,0,3,0,42054,16145
MH,Jalgaon,4224442,4,0,11,0,37870,21599
MH,Jalna,1958483,15,0,47,0,112537,35713
MH,Kolhapur,3874015,55,2,115,0,19104,23088
MH,Latur,2455543,39,3,0,0,82644,33519
MH,Mumbai,12442373,2242,34,2604,0,98915,219736
MH,Nagpur,4653171,35,0,43,0,58567,71818
MH,Nanded,3356566,28,0,22,0,144423,41697
MH,Nandurbar,1646177,2,0,1,0,19572,12517
MH,Nashik,6109052,456,12,519,0,143768,58112
MH,Osmanabad,1660311,89,1,154,0,44954,11658
MH,Palghar,2990116,204,0,326,0,32112,39231
